Aadhar_id,Rationcard_Category,Monthly_Income,Gender,Chronic _Disease,Critical _or _noncritical,Surgery_needed,Target
621000000000,1,4000,0,0,0,0,0
631000000000,1,5000,0,0,0,0,0
641000000000,1,5000,0,0,0,0,0
651000000000,1,5000,0,0,0,0,0
661000000000,0,2600,1,1,1,1,1
671000000000,0,2800,1,1,1,1,1
681000000000,0,2900,1,1,1,1,1
988000000000,0,3000,1,1,1,1,1
701000000000,1,3000,1,1,1,1,1
711000000000,0,3000,1,1,1,1,1
721000000000,0,3000,0,1,1,1,1
731000000000,0,3000,0,1,1,1,1
741000000000,0,3000,0,1,1,1,1
751000000000,0,3000,0,0,0,0,0
761000000000,1,4300,1,0,0,0,0
771000000000,0,3000,1,1,1,1,1
808000000000,1,3210,1,1,1,1,0
735000000000,1,3211,1,1,1,1,1
121000000000,1,3260,1,1,1,1,1
808000000000,1,4987,0,1,1,1,1
808000000000,1,4658,0,1,1,1,1
808000000000,0,3000,0,1,1,1,0
808000000000,0,3000,0,1,1,1,1
808000000000,0,3000,0,0,0,0,0
808000000000,0,3000,1,0,0,0,0
808000000000,0,3000,1,0,0,0,0
808000000000,0,3000,1,0,0,0,1
808000000000,0,3000,1,0,0,0,0
808000000000,1,4000,1,0,0,0,0
808000000000,1,4000,1,0,0,0,0
808000000000,1,4600,0,0,0,0,0
299000000000,1,4500,0,0,0,0,0
808000000000,1,4900,0,0,0,0,0
322000000000,1,4800,0,0,0,0,0
808000000000,1,4870,0,0,0,0,0
808000000000,1,4625,0,1,1,1,0
808000000000,1,4325,1,1,1,1,1
274000000000,1,4650,1,1,1,1,1
808000000000,0,1320,1,1,1,1,1
808000000000,0,1650,1,1,1,1,1
277000000000,0,1950,1,1,1,1,1
808000000000,0,2320,1,1,1,1,1
808000000000,0,2200,0,1,1,1,1
801000000000,1,4987,0,1,1,1,1
802000000000,1,4658,0,1,1,1,1
808000000000,0,3000,0,1,1,1,0
801000000000,1,3600,0,1,1,1,0
813000000000,1,3600,1,1,1,1,1
801000000000,1,3600,1,1,1,1,1
815000000000,1,3600,1,1,1,1,1
168000000000,1,3800,1,1,1,1,1
178000000000,1,3900,1,1,1,1,1
818000000000,1,4560,0,1,1,1,1
578000000000,0,3000,0,1,1,1,1
802000000000,0,2000,0,1,1,1,1
988000000000,1,3200,0,1,1,1,1
802000000000,1,3100,1,1,1,1,1
808000000000,0,2600,1,1,1,1,1
384000000000,0,3000,1,1,1,1,1
803000000000,0,3000,1,1,1,1,1
826000000000,0,3000,1,1,1,1,1
806000000000,0,3000,1,1,1,1,1
806000000000,1,4000,0,1,1,1,1
827000000000,1,4200,0,1,1,1,1
279000000000,1,4600,0,1,1,1,1
288000000000,1,4300,0,1,1,1,1
866000000000,1,4150,0,1,1,1,1
808000000000,1,4630,1,1,1,1,1
808000000000,1,4900,1,1,1,1,1
808000000000,1,4900,1,1,1,1,1
808000000000,0,1900,1,0,0,0,1
808000000000,1,4400,1,0,0,0,0
808000000000,0,2000,0,0,0,0,0
808000000000,0,2000,0,0,0,0,0
808000000000,0,2000,0,0,0,0,0
808000000000,0,2000,0,0,0,0,0
808000000000,0,2000,0,0,0,0,1
808000000000,0,2000,0,0,0,0,0
808000000000,0,2000,1,1,1,1,1
808000000000,0,2000,1,1,1,1,1
808000000000,0,3000,1,1,1,1,1
808000000000,1,3100,1,1,1,1,1
808000000000,1,3200,1,1,1,1,1
808000000000,1,3100,1,1,1,1,1
808000000000,0,2600,0,1,1,1,0
808000000000,0,3000,0,1,1,1,0
808000000000,0,3000,0,1,1,1,1
808000000000,0,3000,0,1,1,1,1
808000000000,0,3000,0,1,1,1,1
811000000000,1,4000,0,1,1,1,1
829000000000,1,4200,1,1,1,1,0
829000000000,1,4600,1,1,1,1,1
829000000000,1,4300,1,1,1,1,1
829000000000,1,4150,1,1,1,1,0
829000000000,1,4630,1,1,1,1,1
829000000000,1,4900,1,1,1,1,1
829000000000,1,4900,1,0,0,0,0
829000000000,0,1900,0,0,0,0,0
828000000000,1,4400,0,0,0,0,0
828000000000,1,5000,0,0,0,0,0
828000000000,0,2200,0,0,0,0,0
828000000000,0,1800,0,0,0,0,0
822000000000,1,10800,0,0,0,0,1
828000000000,1,10900,0,0,0,0,0
828000000000,1,10000,1,0,0,0,0
826000000000,1,10000,1,1,1,1,1
827000000000,1,10000,1,1,1,1,1
828000000000,1,10000,1,1,1,1,1
829000000000,1,10000,1,1,1,1,1
823000000000,1,10000,1,1,1,1,1
823000000000,1,5000,0,1,1,1,1
823000000000,1,5000,0,1,1,1,1
823000000000,1,5000,0,1,1,1,1
823000000000,1,5000,0,1,1,1,1
823000000000,1,5000,0,1,1,1,1
824000000000,1,5000,0,1,1,1,1
824000000000,1,5000,1,0,0,0,0
828000000000,1,5000,1,0,0,0,0
828000000000,1,5000,1,0,0,0,0
828000000000,1,5000,1,0,0,0,0
365000000000,1,5000,0,0,0,0,0
824000000000,1,5000,0,0,0,0,0
828000000000,1,5000,0,1,1,1,1
828000000000,1,5000,0,1,1,1,1
828000000000,1,5000,0,1,1,1,1
825000000000,1,5000,1,1,1,1,1
484000000000,1,5000,1,1,1,1,1
825000000000,1,5000,1,1,1,1,1
825000000000,1,5000,1,1,1,1,1
828000000000,1,5000,1,1,1,1,1
828000000000,0,15000,1,1,1,1,1
828000000000,0,15000,0,0,0,0,0
828000000000,0,15000,0,0,0,0,0
828000000000,0,15000,0,0,0,0,0
828000000000,0,15000,0,0,0,0,0
828000000000,0,15000,0,0,0,0,0
828000000000,1,4000,0,0,0,0,0
828000000000,1,4000,1,0,0,0,0
828000000000,1,4900,1,0,0,0,0
828000000000,1,4000,1,0,0,0,0
828000000000,1,4900,1,0,0,0,0
828000000000,0,1300,1,1,1,1,1
828000000000,0,1600,0,1,1,1,1
828000000000,0,1800,0,1,1,1,1
828000000000,1,4000,0,1,1,1,1
828000000000,1,3600,0,1,1,1,1
828000000000,1,3500,0,1,1,1,1
828000000000,1,3900,1,1,1,1,1
828000000000,1,4500,1,1,1,1,1
828000000000,0,1900,1,1,1,1,1
828000000000,0,1800,1,1,1,1,1
828000000000,0,1650,1,0,0,0,1
828000000000,0,2000,1,0,0,0,0
828000000000,0,2000,0,0,0,0,0
828000000000,0,2000,0,0,0,0,0
828000000000,0,2000,0,0,0,0,0
828000000000,0,2600,0,0,0,0,0
828000000000,0,1600,0,1,1,1,0
828000000000,0,3000,0,1,1,1,0
828000000000,1,3600,1,1,1,1,1
828000000000,1,3900,1,1,1,1,1
828000000000,1,3400,1,1,1,1,1
828000000000,1,4000,1,1,1,1,1
828000000000,1,4000,1,0,0,0,0
828000000000,1,3500,0,0,0,0,0
828000000000,1,3500,0,0,0,0,0
828000000000,0,9000,0,0,0,0,0
828000000000,0,8000,0,0,0,0,0
828000000000,0,13000,0,0,0,0,0
828000000000,0,13000,0,0,0,0,0
128000000000,0,13000,1,1,1,1,0
138000000000,0,13000,1,1,1,1,0
148000000000,0,3000,1,1,1,1,1
158000000000,0,3000,1,1,1,1,1
168000000000,0,3000,1,1,1,1,1
818000000000,0,3000,1,1,1,1,1
822000000000,0,3000,0,1,1,1,1
828000000000,0,3000,0,1,1,1,1
267000000000,0,1000,0,1,1,1,1
821000000000,0,1000,0,1,1,1,1
293000000000,1,25000,0,1,1,1,0
829000000000,1,12000,0,1,1,1,0
828000000000,1,12000,0,1,1,1,0
828000000000,1,12000,0,1,1,1,0
828000000000,1,12000,1,1,1,1,0
828000000000,1,12000,1,1,1,1,0
828000000000,1,12000,1,1,1,1,0
828000000000,1,12000,1,1,1,1,0
828000000000,1,12000,1,1,1,1,0
828000000000,0,1000,1,1,1,1,1
828000000000,1,4900,0,1,1,1,1
828000000000,1,4800,0,0,0,0,0
399000000000,1,4700,0,0,0,0,0
828000000000,1,4320,0,0,0,0,0
828000000000,0,2500,1,0,0,0,0
123000000000,0,400,1,0,0,0,0
828000000000,0,400,1,0,0,0,0
828000000000,0,400,1,1,1,1,0
828000000000,0,530,1,1,1,1,1
108000000000,0,900,1,1,1,1,1
198000000000,0,800,0,1,1,1,0
196000000000,0,700,0,0,0,0,0
191000000000,1,20000,0,0,0,0,0
398000000000,1,30000,0,1,1,1,0
196000000000,1,24000,0,0,0,0,0
987000000000,1,29000,0,1,1,1,0
337000000000,0,3000,1,1,1,1,1
333000000000,0,3000,0,1,1,1,1
337000000000,0,3000,1,1,1,1,1
337000000000,1,9000,0,1,1,1,1
338000000000,1,30000,1,1,1,1,0
338000000000,1,30000,0,1,1,1,0
338000000000,1,26000,1,1,1,1,0
338000000000,1,5000,0,1,1,1,1
338000000000,1,5000,1,1,1,1,1
338000000000,1,5000,0,1,1,1,1
486000000000,1,5000,1,1,1,1,1
338000000000,1,5000,0,0,0,1,0
339000000000,1,5000,1,1,1,1,1
334000000000,1,5000,0,0,0,0,0
334000000000,1,5000,1,0,0,0,0
334000000000,1,5000,0,0,0,0,0
334000000000,1,5000,1,0,0,0,0
334000000000,1,5000,0,0,0,0,0
339000000000,1,5000,1,0,0,0,0
339000000000,1,5000,0,0,0,1,0
339000000000,0,3000,1,1,1,1,1
339000000000,1,26000,0,1,1,1,1
340000000000,1,15000,1,1,1,1,0
340000000000,1,16000,0,1,1,1,0
340000000000,1,20000,1,0,0,0,0
340000000000,1,22000,0,0,0,0,0
340000000000,1,23000,1,0,0,0,0
407000000000,1,24600,0,0,0,0,0
337000000000,1,24600,1,1,1,1,0
404000000000,0,1000,1,1,1,1,1
404000000000,0,790,1,1,1,1,1
404000000000,0,480,1,1,1,1,1
585000000000,0,1600,1,1,1,1,1
404000000000,0,1000,1,1,1,1,1
404000000000,1,10000,0,0,0,0,0
423000000000,1,10000,0,0,0,0,0
402000000000,1,10000,0,0,0,0,0
402000000000,1,10000,0,0,0,0,0
417000000000,1,16900,0,0,0,0,1
402000000000,1,5000,0,0,0,0,0
419000000000,1,5000,1,0,0,0,0
421000000000,0,1700,1,0,0,0,0
402000000000,0,1750,1,0,0,0,0
423000000000,0,1800,1,1,1,1,1
424000000000,0,1900,1,1,1,1,1
425000000000,0,1600,1,1,1,1,1
426000000000,1,5000,1,1,1,1,1
427000000000,1,5000,1,1,1,1,1
428000000000,1,4600,1,1,1,1,1
429000000000,1,5000,1,1,1,1,1
430000000000,1,5000,1,1,1,1,1
431000000000,1,5000,0,1,1,1,1
432000000000,0,3000,0,1,1,1,1
433000000000,0,1400,0,1,1,1,1
175000000000,0,1900,0,1,1,1,1
404000000000,0,1800,0,1,1,1,0
404000000000,0,1630,0,1,1,1,0
299000000000,1,4200,0,1,1,1,1
204000000000,1,4200,0,0,0,0,0
439000000000,1,4900,0,0,0,0,0
404000000000,0,9000,0,0,0,0,0
405000000000,0,6500,0,0,0,0,0
409000000000,0,7500,0,0,0,0,0
488000000000,0,9000,0,0,0,0,0
408000000000,0,10000,0,0,0,0,0
408000000000,0,19000,0,0,0,0,0
408000000000,0,3000,0,1,1,1,0
404000000000,0,2400,0,1,1,1,1
404000000000,1,5000,1,1,1,1,1
404000000000,1,5000,1,1,1,1,1
404000000000,0,2500,1,1,1,1,1
404000000000,0,2400,1,1,1,1,1
404000000000,0,30000,1,1,1,1,1
404000000000,0,26000,1,1,1,1,0
102000000000,1,5959,1,1,1,1,1
606000000000,1,24895,0,1,1,1,0
606000000000,1,10000,0,1,1,1,1
606000000000,1,10000,0,1,1,1,1
606000000000,0,2000,1,1,1,1,1
606000000000,0,2000,1,1,1,1,1
606000000000,0,2000,1,0,0,0,0
606000000000,0,2000,1,0,0,0,1
606000000000,1,3848,0,0,0,0,0
606000000000,1,8000,0,1,1,1,1
606000000000,1,8000,0,1,1,1,1
988000000000,1,10000,0,1,1,1,1
988000000000,1,10000,0,1,1,1,1
988000000000,1,10000,0,1,1,1,1
988000000000,1,10000,0,0,0,0,0
988000000000,1,9000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,1,1,1,1,0
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,1,5000,1,1,1,1,1
988000000000,0,2500,1,1,1,1,0
988000000000,0,2300,1,1,1,1,0
988000000000,1,5000,1,1,1,1,1
988000000000,1,4300,1,0,0,0,0
988000000000,0,2600,1,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,1,3100,1,1,1,1,1
988000000000,1,3200,1,0,0,0,0
988000000000,1,3100,1,1,1,1,0
988000000000,0,2600,1,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,0,3000,1,1,1,1,1
988000000000,1,4000,1,1,1,1,1
988000000000,1,4200,1,1,1,1,1
988000000000,1,4600,0,1,1,1,1
988000000000,1,4300,0,1,1,1,1
988000000000,1,4150,0,1,1,1,1
988000000000,1,4630,0,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,1,4900,0,0,0,0,0
988000000000,0,1900,0,0,0,0,0
988000000000,1,4400,1,0,0,0,0
988000000000,1,26000,1,0,0,0,0
988000000000,1,5959,1,0,0,0,1
988000000000,1,24895,1,1,1,1,0
988000000000,1,10000,0,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,1,3848,1,1,1,1,1
988000000000,1,8000,0,1,1,1,1
988000000000,1,8000,0,1,1,1,1
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,9000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,1,5000,0,1,1,1,1
988000000000,0,2500,0,1,1,1,1
988000000000,0,2300,0,1,1,1,0
988000000000,1,5000,0,1,1,1,1
988000000000,1,4300,0,1,1,1,1
988000000000,0,2600,1,1,1,1,0
988000000000,0,3000,1,1,1,1,1
988000000000,1,3100,1,1,1,1,1
988000000000,1,3200,1,1,1,1,1
988000000000,1,3100,1,1,1,1,1
988000000000,0,2600,0,1,1,1,1
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,1,4000,0,1,1,1,1
988000000000,1,4200,1,1,1,1,1
988000000000,1,4600,1,1,1,1,1
988000000000,1,4300,1,1,1,1,1
988000000000,1,4150,1,1,1,1,1
988000000000,1,4630,1,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,0,1900,0,1,1,1,1
988000000000,1,4400,1,0,0,0,0
988000000000,1,26000,1,0,0,0,0
988000000000,1,5959,1,1,1,1,1
988000000000,1,24895,1,1,1,1,0
988000000000,1,10000,1,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,1,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,1,3848,0,0,0,0,0
988000000000,1,8000,1,0,0,0,0
988000000000,1,8000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,1,0,0,0,0
988000000000,1,10000,1,0,0,0,0
988000000000,1,9000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,1,5000,0,1,1,1,1
988000000000,0,2500,0,1,1,1,1
988000000000,0,2300,0,1,1,1,0
988000000000,1,5000,1,1,1,1,1
988000000000,1,4300,1,1,1,1,1
988000000000,0,2600,1,1,1,1,0
988000000000,0,3000,1,1,1,1,0
988000000000,1,3100,1,1,1,1,1
988000000000,1,3200,1,1,1,1,1
988000000000,1,3100,0,1,1,1,1
988000000000,0,2600,0,1,1,1,1
988000000000,0,3000,1,1,1,1,1
988000000000,0,3000,0,1,1,1,1
988000000000,0,3000,1,1,1,1,1
988000000000,0,3000,0,1,1,1,1
988000000000,1,4000,0,1,1,1,1
988000000000,1,4200,1,1,1,1,1
988000000000,1,4600,0,1,1,1,1
988000000000,1,4300,1,1,1,1,1
988000000000,1,4150,1,1,1,1,1
988000000000,1,4630,0,1,1,1,1
988000000000,1,4900,1,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,0,1900,0,1,1,1,1
988000000000,1,4400,0,1,1,1,1
988000000000,1,26000,1,1,1,1,0
988000000000,1,5959,0,1,1,1,1
988000000000,1,24895,0,1,1,1,0
988000000000,1,10000,0,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,1,3848,1,0,0,0,0
988000000000,1,8000,1,0,0,0,0
988000000000,1,8000,1,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,1,1,1,1,1
988000000000,1,10000,0,1,1,1,1
988000000000,1,9000,0,1,1,1,1
988000000000,0,3000,1,1,1,1,1
988000000000,0,3000,0,1,1,1,1
988000000000,0,3000,1,1,1,1,1
988000000000,0,3000,0,1,1,1,1
988000000000,0,2000,1,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,0,2000,0,1,1,1,1
988000000000,1,5000,0,1,1,1,1
988000000000,0,2500,0,1,1,1,1
988000000000,0,2300,0,1,1,1,0
988000000000,1,5000,1,1,1,1,1
988000000000,1,4300,1,1,1,1,1
988000000000,0,2600,1,1,1,1,0
988000000000,0,3000,1,1,1,1,0
988000000000,1,3100,1,0,0,0,0
988000000000,1,3200,1,0,0,0,0
988000000000,1,3100,0,0,0,0,0
988000000000,0,2600,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,0,3000,1,0,0,0,0
988000000000,1,4000,1,0,0,0,0
988000000000,1,4200,0,1,1,1,1
988000000000,1,4600,1,1,1,1,1
988000000000,1,4300,1,1,1,1,1
988000000000,1,4150,0,1,1,1,1
988000000000,1,4630,0,1,1,1,1
988000000000,1,4900,1,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,0,1900,0,1,1,1,1
988000000000,1,4400,1,1,1,1,1
988000000000,1,26000,1,1,1,1,0
988000000000,1,5959,1,1,1,1,1
988000000000,1,24895,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,1,10000,0,0,0,0,0
988000000000,0,2000,0,0,0,0,0
988000000000,0,2000,0,0,0,0,0
988000000000,0,2000,0,0,0,0,0
988000000000,0,2000,0,1,1,1,1
988000000000,1,3848,0,1,1,1,1
988000000000,1,8000,0,1,1,1,1
988000000000,1,8000,1,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,1,10000,1,1,1,1,1
988000000000,1,9000,1,1,1,1,1
988000000000,0,3000,0,0,0,0,1
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,0,2000,1,0,0,0,0
988000000000,1,5000,1,0,0,0,0
988000000000,0,2500,0,0,0,0,0
988000000000,0,2300,0,1,1,1,1
988000000000,1,5000,0,1,1,1,1
988000000000,1,4300,0,1,1,1,1
988000000000,0,2600,1,1,1,1,1
988000000000,0,3000,1,1,1,1,1
988000000000,1,3100,1,1,1,1,1
988000000000,1,3200,1,1,1,1,1
988000000000,1,3100,1,1,1,1,1
988000000000,0,2600,0,1,1,1,1
988000000000,0,3000,0,1,1,1,1
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,0,3000,0,0,0,0,0
988000000000,1,4000,0,1,1,1,0
988000000000,1,4200,1,1,1,1,1
988000000000,1,4600,0,1,1,1,0
988000000000,1,4300,1,1,1,1,1
988000000000,1,4150,0,1,1,1,1
988000000000,1,4630,1,1,1,1,1
988000000000,1,4900,0,1,1,1,1
988000000000,1,4900,1,1,1,1,1
988000000000,0,1900,0,1,1,1,1
988000000000,1,4400,1,1,1,1,1
988000000000,1,26000,0,1,1,1,0
110000000000,1,5959,1,1,1,1,1
110000000000,1,24895,0,0,0,0,0
110000000000,1,10000,1,1,1,1,1
110000000000,1,10000,0,0,0,0,0
111000000000,0,2000,1,0,0,0,0
111000000000,0,2000,0,0,0,0,0
111000000000,0,2000,1,0,0,0,0
111000000000,0,2000,1,0,0,0,0
111000000000,1,3848,1,0,0,0,0
111000000000,1,8000,0,0,0,0,0
111000000000,1,8000,1,1,1,1,0
111000000000,1,10000,0,1,1,1,1
111000000000,1,10000,1,1,1,1,1
111000000000,1,10000,1,1,1,1,1
112000000000,1,10000,1,0,0,0,0
112000000000,1,9000,0,0,0,0,0
112000000000,0,3000,1,0,0,0,0
111000000000,0,3000,0,0,0,0,0
112000000000,0,3000,0,1,1,1,1
112000000000,0,3000,0,1,1,1,0
112000000000,0,2000,0,1,1,1,1
112000000000,0,2000,0,1,1,1,1
112000000000,0,2000,0,1,1,1,1
112000000000,0,2000,1,1,1,1,0
113000000000,1,5000,1,0,0,0,0
113000000000,0,2500,1,0,0,0,0
113000000000,0,2300,1,0,0,0,0
113000000000,1,5000,1,0,0,0,0
113000000000,1,4300,1,0,0,0,0
113000000000,0,2600,0,0,0,0,0
113000000000,0,3000,1,0,0,0,0
113000000000,1,3100,1,0,0,0,0
113000000000,1,3200,1,0,0,0,0
113000000000,1,3100,0,1,1,1,1
114000000000,0,2600,0,1,1,1,1
114000000000,0,3000,0,1,1,1,1
114000000000,0,3000,1,1,1,1,1
114000000000,0,3000,1,1,1,1,1
114000000000,0,3000,1,1,1,1,0
114000000000,1,4000,1,1,1,1,1
114000000000,1,4200,0,1,1,1,1
114000000000,1,4600,0,1,1,1,1
114000000000,1,4300,0,1,1,1,1
114000000000,1,4150,1,1,1,1,1
115000000000,1,4630,0,1,1,1,1
115000000000,1,4900,1,1,1,1,1
115000000000,1,4900,0,1,1,1,1
115000000000,0,1900,0,1,1,1,0
115000000000,1,4400,0,0,0,0,0
115000000000,1,26000,1,0,0,0,0
115000000000,1,5959,0,0,0,0,0
115000000000,1,24895,1,0,0,0,0
115000000000,1,10000,0,0,0,0,0
115000000000,1,10000,1,0,0,0,0
116000000000,0,2000,0,0,0,0,0
116000000000,0,2000,1,0,0,0,0
116000000000,0,2000,1,1,1,1,1
116000000000,0,2000,0,1,1,1,1
116000000000,1,3848,1,1,1,1,1
116000000000,1,8000,0,1,1,1,1
116000000000,1,8000,1,1,1,1,1
116000000000,1,10000,0,1,1,1,1
162000000000,1,10000,0,1,1,1,1
162000000000,1,10000,1,1,1,1,1
162000000000,1,10000,1,1,1,1,1
162000000000,1,9000,0,1,1,1,1
162000000000,0,3000,0,1,1,1,0
162000000000,0,3000,0,1,1,1,1
162000000000,0,3000,0,1,1,1,1
163000000000,0,3000,0,1,1,1,0
163000000000,0,2000,0,0,0,0,0
163000000000,0,2000,1,0,0,0,0
163000000000,0,2000,1,0,0,0,0
163000000000,0,2000,1,1,1,1,1
163000000000,1,5000,1,1,1,1,1
163000000000,0,2500,1,1,1,1,1
163000000000,0,2300,1,1,1,1,1
163000000000,1,5000,1,1,1,1,1
163000000000,1,4300,1,0,0,0,0
164000000000,0,2600,1,0,0,0,0
164000000000,0,3000,1,0,0,0,0
